Feature,Importance
V17,0.2298365262228968
V14,0.20014707627916842
V12,0.10516941089770188
V10,0.07544184712425268
V16,0.07375485950275322
V9,0.040110958019999865
V4,0.030108082669432545
V3,0.02822758416124549
V7,0.018250168406453198
V18,0.018037828207545067
V26,0.01781006844226285
V20,0.016525530001988534
V21,0.013807857559314475
V11,0.013658215559239729
V27,0.012724972224675824
V2,0.012162364352794573
V5,0.00989481583288464
V8,0.00968061381938329
Time,0.008922461251040506
V15,0.008440334290299722
V6,0.008330121632502132
V1,0.008127712026800548
Amount,0.007720607716386454
V22,0.007619879891951832
V28,0.00567600273883055
V19,0.00491528329705503
V25,0.004342327415409701
V23,0.003812375224924761
V24,0.0036071825081902273
V13,0.0031369327226154287
