State,Cyber Blackmailing / Threatening,"Cyber Pornography / Hosting / Publishing Obscene Sexual Materials
","Cyber Stalking / Cyber Bullying of Women
","Defamation / Morphing
","Fake Profile
",Other Crimes against Women,Total Cyber Crimes against Women
Karnataka,0,142,1,0,1,2715,2859
Maharashtra,12,75,388,0,15,1142,1632
Assam,2,211,1,0,182,675,1071
Uttar Pradesh,0,325,76,0,13,335,749
Telangana,19,11,100,1,14,504,649
Odisha,1,292,0,220,13,34,560
Andhra Pradesh,5,21,145,1,22,181,375
West Bengal,6,10,17,1,7,303,344
Tamil Nadu,7,147,7,17,17,111,306
Gujarat,7,17,26,1,2,224,277
Madhya Pradesh,6,52,28,2,2,184,274
Kerala,0,113,14,1,5,113,246
Rajasthan,3,24,12,1,3,195,238
Haryana,1,64,19,1,16,121,222
Chhattisgarh,0,34,2,0,2,79,117
Punjab,1,22,14,0,18,55,110
Uttarakhand,0,23,1,0,4,44,72
Himachal Pradesh,0,31,7,0,7,7,52
Delhi,0,8,12,0,5,26,51
Bihar,0,3,11,2,4,27,47
Meghalaya,1,7,0,1,0,30,39
Manipur,0,3,3,0,0,20,26
Jammu & Kashmir,3,10,0,2,1,9,25
Jharkhand,0,3,0,0,0,17,20
Goa,0,1,1,0,0,17,19
Chandigarh,0,1,1,0,0,8,10
Tripura,0,2,0,0,1,0,3
A&N Islands,0,1,1,0,0,1,3
"D&N Haveli and
Daman & Diu",0,0,0,0,0,3,3
Nagaland,0,0,0,0,0,2,2
Lakshadweep,0,1,0,0,0,1,2
Arunachal Pradesh,0,0,0,0,0,1,1
Mizoram,0,1,0,0,0,0,1
Sikkim,0,0,0,0,0,0,0
Ladakh,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0
